,Date,Open,created_at,polarity,subjectivity
0,,,Thu Feb 27 23:16:49 +0000 2020,0.0,0.0
1,,,Thu Feb 27 23:11:14 +0000 2020,-0.2916666666666667,0.5416666666666666
2,,,Thu Feb 27 23:11:09 +0000 2020,0.04545454545454545,0.6515151515151515
3,,,Thu Feb 27 23:03:30 +0000 2020,0.5,0.5
4,,,Thu Feb 27 23:02:28 +0000 2020,0.26666666666666666,0.6333333333333333
5,,,Thu Feb 27 23:00:21 +0000 2020,0.0,0.0
6,,,Thu Feb 27 23:00:14 +0000 2020,0.5,0.5
7,,,Thu Feb 27 22:58:04 +0000 2020,0.5,0.5
8,,,Thu Feb 27 22:55:30 +0000 2020,0.26666666666666666,0.6333333333333333
9,,,Thu Feb 27 22:52:54 +0000 2020,0.0,0.0
10,,,Thu Feb 27 22:51:47 +0000 2020,0.0,0.06666666666666667
11,,,Thu Feb 27 22:51:30 +0000 2020,0.5,0.5
12,,,Thu Feb 27 22:50:48 +0000 2020,0.0,0.0
13,,,Thu Feb 27 22:46:16 +0000 2020,0.26666666666666666,0.6333333333333333
14,,,Thu Feb 27 22:45:29 +0000 2020,0.3090909090909091,0.6
15,,,Thu Feb 27 22:45:08 +0000 2020,0.5,0.5
16,,,Thu Feb 27 22:44:50 +0000 2020,0.39285714285714285,0.5178571428571428
17,,,Thu Feb 27 22:44:33 +0000 2020,0.31212121212121213,0.7348484848484849
18,,,Thu Feb 27 22:43:50 +0000 2020,0.5,0.5
19,,,Thu Feb 27 22:41:47 +0000 2020,0.39285714285714285,0.5178571428571428
20,,,Thu Feb 27 22:39:35 +0000 2020,0.13636363636363635,0.45454545454545453
21,,,Thu Feb 27 22:39:21 +0000 2020,0.26666666666666666,0.6333333333333333
22,,,Thu Feb 27 22:39:04 +0000 2020,-0.13333333333333333,0.4000000000000001
23,,,Thu Feb 27 22:38:40 +0000 2020,0.0,0.0
24,,,Thu Feb 27 22:37:13 +0000 2020,0.5,0.5
25,,,Thu Feb 27 22:35:24 +0000 2020,0.0,0.0
26,,,Thu Feb 27 22:34:45 +0000 2020,0.2,0.30000000000000004
27,,,Thu Feb 27 22:34:34 +0000 2020,0.2,0.30000000000000004
28,,,Thu Feb 27 22:28:49 +0000 2020,0.3090909090909091,0.6
29,,,Thu Feb 27 22:28:21 +0000 2020,0.0,0.0
30,,,Thu Feb 27 22:28:02 +0000 2020,0.5,0.5
31,,,Thu Feb 27 22:26:08 +0000 2020,0.5,0.5
32,,,Thu Feb 27 22:25:25 +0000 2020,0.16666666666666666,0.5
33,,,Thu Feb 27 22:25:19 +0000 2020,0.5,0.5
34,,,Thu Feb 27 22:19:55 +0000 2020,0.39285714285714285,0.5178571428571428
35,,,Thu Feb 27 22:19:24 +0000 2020,0.5,0.5
36,,,Thu Feb 27 22:18:53 +0000 2020,0.21666666666666667,0.7166666666666667
37,,,Thu Feb 27 22:18:50 +0000 2020,0.0,0.0
38,,,Thu Feb 27 22:17:35 +0000 2020,0.0,0.0
39,,,Thu Feb 27 22:16:41 +0000 2020,0.5,0.5
40,,,Thu Feb 27 22:16:08 +0000 2020,0.5,0.5
41,,,Thu Feb 27 22:16:02 +0000 2020,0.21666666666666667,0.7166666666666667
42,,,Thu Feb 27 22:15:22 +0000 2020,0.21666666666666667,0.7166666666666667
43,,,Thu Feb 27 22:15:21 +0000 2020,0.39285714285714285,0.5178571428571428
44,,,Thu Feb 27 22:13:54 +0000 2020,0.3090909090909091,0.6
45,,,Thu Feb 27 22:13:33 +0000 2020,0.0,0.0
46,,,Thu Feb 27 22:11:56 +0000 2020,0.26666666666666666,0.6333333333333333
47,,,Thu Feb 27 22:11:28 +0000 2020,0.5,0.5
48,,,Thu Feb 27 22:10:57 +0000 2020,0.0,0.0
49,,,Thu Feb 27 22:08:05 +0000 2020,-0.09583333333333333,0.25
50,,,Thu Feb 27 22:05:43 +0000 2020,0.26666666666666666,0.6333333333333333
51,,,Thu Feb 27 22:03:57 +0000 2020,0.26666666666666666,0.6333333333333333
52,,,Thu Feb 27 22:01:59 +0000 2020,0.26666666666666666,0.6333333333333333
53,,,Thu Feb 27 22:01:56 +0000 2020,-0.13333333333333333,0.4000000000000001
